[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.]	[-0.037180997,0.11770809,-0.060726017,0.03243269,0.05336834,0.05597013,0.023329614,-0.0032959396,-0.08954396,0.05341681,0.028276104,0.028598815,0.102806695,0.08154582,0.060322955,-0.015674815,0.121943586,-0.035034478,0.021988833,0.16632366,0.0015476659,-0.15535153,0.05962924,0.13198543,-0.004563167,-0.08409203,-0.11212667,-0.030089004,0.076515675,0.048583146,0.06525391,0.122204445,0.07716408,0.064117335,-0.09034682,0.16104434,0.0709722,0.0988788,-0.11619881,-0.039745055,0.047457132,-0.025206266,0.056390963,-0.095649794,-0.102015845,0.04411184,0.16835268,0.02090155,-0.07720767,0.031163175,-0.06862861,0.011571394,-0.041674383,-0.012960165,0.14217623,0.10106136,-0.075217724,0.08642192,0.0011095639,-0.024524672,-0.17947713,0.052656442,0.05909573,-0.28417882,0.122629665,0.11032564,0.011412479,-0.044630405,-0.2052762,0.04107854,-0.016899781,0.051273935,-0.10200127,0.09636086,0.14697576,0.074517906,0.124557525,0.11909429,0.04461067,-0.1057353,-0.15894835,-0.015518321,-0.06221111,-0.02307235,-0.015270582,0.073578775,-0.039177474,0.009379411,0.0588925,0.050822504,0.06496998,-0.09490227,0.057869844,-0.032382894,0.10911095,-0.04968654,0.010656709,0.107995465,0.008461292,-0.0150682125,-0.063423775,-8.0989135e-05,-0.0163667,0.08267596,-0.12957765,0.20897503,-0.0608238,-0.0043715565,0.06685562,-0.07446036,-0.13279551,0.08512426,-0.015679214,-0.024155818,0.044680595,-0.018014839,0.075950906,-0.13608265,0.0758592,0.2281393,0.017966336,-0.03977297,-0.0052049486,0.13119137,-0.11674577,0.11465273,0.016201412,-0.019297104]
[0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]	[-0.012820334,0.13066451,-0.05531686,0.04410294,0.026485752,0.10637675,0.024313122,-0.0046582106,-0.04056767,0.043425698,0.047347646,0.024708118,0.09340467,0.047465652,0.04423049,-0.0043716044,0.085343316,-0.032890487,-0.035587475,0.13323997,0.0037820907,-0.16007005,0.057791654,0.13541175,0.0027776377,-0.12771586,-0.11285085,-0.013181747,0.038600575,0.034669086,0.0882216,0.11146473,0.04436557,0.08161859,-0.115895815,0.15348874,0.03703637,0.069681466,-0.097176485,-0.00602265,0.03389954,-0.053249348,0.0414857,-0.123719715,-0.06476497,-0.024450373,0.12359401,0.019145545,-0.075804085,0.08740658,-0.033631656,0.012324063,-0.059661277,-0.0056746025,0.10559312,0.099093966,-0.0896441,0.09472478,-0.007631863,-0.016586555,-0.18921857,0.06271719,0.07203129,-0.3166188,0.091528505,0.12081095,0.010864543,-0.03502359,-0.25522685,0.064072974,-0.0072461655,0.06867783,-0.10872115,0.12056775,0.1305122,0.060265176,0.15163973,0.06509085,0.024327697,-0.07663824,-0.15071337,-0.054428935,-0.0424935,-0.02657527,-0.044929065,0.10161121,-0.045592554,-0.027285622,0.06861762,0.05640612,0.043844227,-0.14789356,0.061022438,-0.0058702156,0.11300153,-0.016256802,-0.0140653765,0.06869486,-0.008875266,0.021801231,-0.055794347,-0.016189788,-0.061126012,0.10179747,-0.083582,0.21442038,-0.06532386,-0.014732298,0.027254108,-0.07927939,-0.143823,0.10163007,0.020811956,0.0019097807,0.06025378,-0.019648314,0.088456124,-0.049694702,0.10779073,0.24427542,0.030206127,-0.06268715,0.014463059,0.12701105,-0.07558443,0.10582428,0.02722407,-0.01599844]
[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]	[-0.01892409,0.14363576,-0.019049132,0.04350105,0.04269182,0.084872484,0.0112310685,-0.016185366,-0.054585177,-0.009243286,0.036106545,-0.0056676306,0.07248625,0.089130834,0.09877516,-0.030745191,0.05490237,-0.06445466,-0.037065245,0.14525601,-0.02342023,-0.1266469,0.07884025,0.10064596,0.04581032,-0.14429122,-0.10677347,0.026613556,0.031484168,0.017494338,0.09226708,0.09106031,0.055850167,0.0839083,-0.10082662,0.16968277,0.057235483,0.063326016,-0.11313826,-0.023962652,0.07672977,-0.05174325,0.08224589,-0.0953401,-0.11219054,0.02525448,0.13995473,0.02146175,-0.07306729,0.10202617,-0.06611744,0.008796621,-0.055705257,0.0104896575,0.13106889,0.072452985,-0.1266734,0.08444207,0.011636215,-0.03807202,-0.2074994,0.06575639,0.04126644,-0.27050403,0.070101365,0.17005968,0.02517134,-0.03227641,-0.2258168,0.06536181,0.013178758,0.07446674,-0.063388154,0.11458017,0.17827855,0.04788818,0.11083763,0.040384635,0.02778019,-0.054296866,-0.10338427,-0.04674708,-0.039673,-0.035149917,-0.029391028,0.109732814,-0.05698004,-0.00595076,0.040053487,0.08734619,0.084190175,-0.14273761,0.042024676,-0.04487689,0.0662046,-0.048278674,-0.022582544,0.09178433,0.009748264,-0.02719229,-0.09867573,-0.0039512017,0.005634057,0.06771836,-0.12949751,0.22882353,-0.08003898,0.045688856,0.06301472,-0.086142756,-0.09551466,0.10411512,-0.021121854,0.017479142,0.03209923,-0.051972456,0.0889965,-0.06370097,0.10891076,0.2361127,0.056229193,-0.03540819,0.00601194,0.15141287,-0.065162666,0.06461302,0.074754626,0.0045862165]
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]	[0.04171461,0.1177694,-0.071705714,0.048338447,0.03641219,0.10483296,0.030873662,-0.012193268,-0.00093953015,-0.017881008,0.08437789,0.03168235,0.085952446,0.037238922,0.017778134,-0.0020571884,0.10119462,-0.015747964,-0.07344833,0.15906668,0.029135078,-0.11958956,0.043000177,0.1896367,-0.0006303347,-0.1703192,-0.07264587,0.004289173,0.023072986,0.06282276,0.07836219,0.06626054,0.044087656,0.117725804,-0.11299405,0.14029337,0.046823103,0.039681144,-0.115296714,-0.009658043,0.01593383,-0.04100806,0.06670628,-0.07909635,-0.054260865,-0.061370645,0.10672411,0.03438665,-0.06282065,0.1399206,-0.02879942,-0.02285751,-0.06576242,0.0034869676,0.109323524,0.08820971,-0.13357826,0.10431135,-0.0011275569,-0.023808217,-0.1888174,0.055377543,0.093765356,-0.30929238,0.04001271,0.0879478,0.0142637035,-0.05972613,-0.26530114,0.044596095,-0.010975547,0.036320873,-0.09429236,0.09623078,0.108668014,0.02952902,0.17519417,0.06794139,0.011945129,-0.050417207,-0.10012619,-0.05222727,-0.050363336,-0.05515679,-0.027965639,0.121682055,-0.06361991,-0.054144282,0.05943299,0.09784094,0.07101984,-0.18749365,0.01573527,-0.0020931095,0.1160105,0.0002884071,-0.054762542,0.045376226,-0.01762695,0.014668982,-0.04721324,-0.0075498507,-0.048626605,0.09672115,-0.10047451,0.20386387,-0.062164098,-0.018447513,0.00019125166,-0.076914586,-0.10737268,0.10113835,0.027672466,0.041062117,0.031101001,-0.013384737,0.09969353,-0.032681298,0.08920816,0.23612402,0.016889667,-0.048018456,0.006064714,0.15015166,-0.07352893,0.07380916,0.034193322,-0.038159415]
[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]	[-0.0316504,0.14002016,-0.0619864,0.06747106,0.019274134,0.08393895,-0.0024004257,-0.02899343,-0.03234417,0.048292954,0.067840554,0.02418735,0.076683275,0.042869065,0.030157963,0.011472802,0.090808615,-0.008136132,-0.0065032598,0.14031713,0.0072203344,-0.16955061,0.032659244,0.17277619,0.037035555,-0.117755674,-0.07408135,-0.006640389,0.05043674,0.06362424,0.091375336,0.10572146,0.06490168,0.06788871,-0.10810403,0.15884995,0.031817112,0.021613486,-0.100334436,-0.031413425,0.027103338,-0.076856084,0.08070492,-0.07334227,-0.043131318,-0.03450997,0.1533832,0.02139217,-0.08196052,0.057864096,-0.020877087,-0.0023522654,-0.03840757,-0.031599626,0.12075572,0.12028905,-0.12890697,0.08756609,0.018135525,-0.032394186,-0.1895472,0.041884772,0.082082696,-0.28632477,0.081737384,0.13508865,0.00015009702,-0.08366883,-0.2547076,0.047884893,-0.03608944,0.053243205,-0.11031052,0.080170065,0.13570237,0.037405144,0.16389485,0.10247927,0.008029228,-0.07023498,-0.12806672,-0.043399706,-0.057511065,-0.04160931,-0.037306678,0.105994456,-0.07027226,-0.03439863,0.068665445,0.074647844,0.037233148,-0.1296156,0.02773149,-5.9845465e-06,0.1162686,0.007795084,-0.03728269,0.07559207,0.010103628,-0.0023957507,-0.053252943,-0.017938042,-0.041978218,0.07280765,-0.0875148,0.22906847,-0.04867579,-0.018200424,0.030288005,-0.08070096,-0.14014305,0.094838984,0.021344481,-0.011792186,0.051779073,-0.042538118,0.0934291,-0.05881362,0.114617676,0.23100878,0.037053727,-0.07194374,0.0026367907,0.11513189,-0.08707196,0.12090626,0.038388003,-0.018128268]
[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]	[-0.018801969,0.12245824,-0.08092532,0.041460842,0.026136812,0.09372741,0.033207044,-0.0030039921,-0.011699811,0.027509969,0.05446426,0.029858118,0.10755868,0.02628327,0.018691262,-0.031477142,0.02925515,-0.024293916,-0.04972381,0.17492259,0.024981953,-0.19654658,0.077362746,0.14439014,0.021555874,-0.17531532,-0.09036289,-0.032233045,0.019833483,0.0721173,0.069798976,0.037132945,0.077715024,0.0773878,-0.10766923,0.12563154,0.024036653,0.05832968,-0.13812724,-0.040261634,0.032269232,-0.098028004,0.06140644,-0.05497414,-0.11237546,-0.049903747,0.12495135,0.028516075,-0.05906251,0.13120441,-0.043764412,-0.030321715,-0.049705368,0.00024131592,0.12668173,0.088967055,-0.114996776,0.07396636,-0.00042029307,-0.047362674,-0.18343498,0.040513773,0.08812327,-0.26758295,0.073279366,0.09773072,-0.015004841,-0.051848445,-0.2553584,0.019701932,-0.004209535,0.06600691,-0.102486946,0.07250251,0.13906053,0.075029,0.14561117,0.062233057,0.039196655,-0.020892093,-0.14757182,-0.10247487,-0.040272143,0.0029504488,-0.043602422,0.13033463,-0.054682393,-0.010239503,0.09811235,0.062310494,0.03127811,-0.17269558,0.042581294,-0.029830098,0.051895767,-0.05558548,-0.061650157,0.07990312,0.0052986415,-0.014188464,-0.022367435,-0.007704074,-0.017749825,0.06372378,-0.08435632,0.2070665,-0.06418089,0.03857432,0.018487396,-0.06938934,-0.121093385,0.09635812,0.015866047,0.005119621,0.008768807,0.0062854923,0.085477464,-0.0055701346,0.09312864,0.2676069,0.007882343,-0.073497295,-0.033547785,0.13283339,-0.093334675,0.099486366,0.027411148,0.0044948007]
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]	[-0.041650824,0.15618414,-0.15338376,0.043291107,0.05128158,0.09632805,-0.0167675,-0.04478026,-0.043408424,0.07072857,0.047467206,0.05115123,0.089457095,0.013404177,0.016707493,-0.01192305,0.08248338,0.00095747807,0.018383676,0.1579318,-0.0038270846,-0.16472742,0.096303895,0.13317995,0.031409997,-0.12514576,-0.051964663,-0.067468174,0.031030165,0.084239915,0.092249915,0.0794429,0.088377856,0.042747043,-0.09272458,0.15389869,0.038082786,0.030879093,-0.115333796,-0.010231856,0.024890106,-0.0655246,0.05897383,-0.0066225366,-0.13858627,-0.0046339324,0.18298548,0.03167492,-0.055100538,0.09300871,-0.0047833673,0.0001886597,-0.06754167,-0.03703531,0.10355358,0.10849015,-0.07868099,0.07707576,0.03425435,-0.02815155,-0.19606842,0.01595822,0.10567978,-0.2931521,0.114653416,0.0056204656,-0.0036646742,-0.04745043,-0.21371058,0.078531556,-0.013087734,0.094668135,-0.10876485,0.057635408,0.111425936,0.061994717,0.102019124,0.13512696,-0.018227391,-0.06067497,-0.1666731,-0.029868118,-0.055717967,0.016452115,-0.047910523,0.10420692,-0.055642944,-0.031349182,0.074632406,0.019554392,-0.0076559237,-0.1255329,0.02195044,-0.056017537,0.115266345,-0.065804794,-0.029558448,0.11028032,-0.018605547,-0.032488417,-0.06609053,-0.0044721793,-0.0063186283,0.0808741,-0.10962908,0.18123688,-0.08115767,0.02563686,0.018278437,-0.027902225,-0.124949284,0.080264054,0.02389228,-0.0019028526,-0.009158166,-0.03013717,0.08439248,-0.10489605,0.110521644,0.25638676,0.03971729,-0.049356867,-0.01647302,0.12957603,-0.11209974,0.0764933,0.0014735081,0.01898016]
[0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]	[-0.036017552,0.118748754,-0.048842605,0.0630613,0.020779777,0.0902775,-0.005743349,0.0030124935,-0.051783416,0.072115205,0.054040182,0.028127836,0.0998896,0.012040753,0.024633795,0.022433737,0.10577385,-0.009125093,-0.012163586,0.15220831,0.04463894,-0.20433602,0.06589103,0.17576961,0.020824919,-0.09506563,-0.10181916,-0.0676592,0.07036631,0.03816964,0.102652885,0.107738204,0.06396069,0.06824872,-0.11235954,0.14025997,0.023136357,0.09688717,-0.08831745,-0.033551097,0.017414235,-0.055977944,0.029964997,-0.10296022,-0.04753023,-0.04879345,0.15653348,8.6024156e-05,-0.08768573,0.033564836,-0.02087787,8.811569e-05,-0.032803293,-0.031506322,0.102466285,0.11289705,-0.055385523,0.07928169,0.017084528,-0.06140862,-0.17603496,0.036190126,0.066562474,-0.29265162,0.10315287,0.108576335,0.003527247,-0.04681117,-0.23081103,0.045204934,-0.040343534,0.062305767,-0.1354063,0.081354365,0.13159962,0.039791495,0.1329981,0.12639101,0.029708026,-0.047719818,-0.18954585,-0.032870427,-0.04309749,-0.034894668,-0.027417645,0.09092296,-0.03690344,-0.0008795392,0.074494906,0.015557007,0.017670702,-0.10619625,0.05770518,0.006357463,0.10983264,-0.026268445,-0.015905691,0.10040808,-0.01673905,0.0014009639,-0.044285372,-0.034695234,-0.068441786,0.11299547,-0.06274836,0.19783153,-0.041875623,-0.02793332,0.06565578,-0.094167724,-0.17907615,0.11612087,0.010156853,-0.019350475,0.0796958,-0.010864116,0.033938143,-0.08946024,0.087916225,0.23668584,0.010108785,-0.045987207,-0.013077409,0.103617355,-0.09972531,0.13089556,0.009719075,-0.009629791]
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]	[0.0037532463,0.15488358,-0.11380144,0.015847282,-0.01752208,0.096114986,-0.0162602,0.020269167,-0.034317765,0.043644935,0.065515906,0.0024340125,0.10056647,0.0073986673,-0.014975596,0.035331465,0.07367509,-0.04748354,-0.042119242,0.1605489,0.019820392,-0.17000954,0.063033,0.14649332,-0.02912873,-0.0868799,-0.03976526,-0.045578558,0.04540333,0.037401874,0.052972145,0.08626288,0.06293642,0.08185194,-0.14560069,0.13403828,0.05411192,0.11117624,-0.10703299,0.0034054315,-0.021018688,-0.09056311,0.04894426,-0.054937925,-0.03306576,-0.014665195,0.17412652,0.014964252,-0.12539434,0.115604095,-0.01105172,0.014952772,-0.07664263,0.021652134,0.12070898,0.08796159,-0.070774175,0.064210184,0.045325726,-0.0852725,-0.1686262,0.022179574,0.1041979,-0.28234676,0.04682356,0.06255857,0.015200137,-0.023532154,-0.19526725,0.0536352,-0.045652576,0.02933843,-0.11944493,0.10631216,0.15234375,0.009376349,0.13868423,0.14061967,0.009668244,-0.050286096,-0.1311508,-0.04173388,-0.06509998,-0.056913674,-0.041383047,0.1292356,-0.059982203,-0.032071486,0.109443,0.058419533,0.02465669,-0.1661376,0.008385434,-0.021286093,0.123848975,0.002085759,-0.0016078379,0.09680483,-0.0018738633,-0.013825668,-0.062129777,-0.01060017,-0.0509226,0.12832886,-0.1038239,0.18341513,-0.101892345,0.019185362,0.010427026,-0.11465084,-0.1306539,0.13902797,0.017814213,-0.0054481365,0.05367369,-0.02433385,0.060602143,-0.11526957,0.1158521,0.20790145,0.028047122,-0.031975158,0.05225136,0.1350277,-0.07981837,0.064356625,0.025085235,-0.016174747]
[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]	[-0.011042968,0.124610215,-0.044422306,0.062634006,0.023527658,0.10592907,0.027716203,0.01492699,-0.06384437,0.066451654,0.05383614,0.032755073,0.08855034,-0.014807028,0.045314852,-0.006700874,0.0747346,-0.015759492,-0.0120446235,0.16172707,0.0050194943,-0.17979342,0.043372676,0.1631361,0.022621538,-0.13143227,-0.10428734,-0.041951932,0.045041386,0.039792627,0.07736344,0.08708346,0.04461342,0.09563073,-0.11104239,0.12450402,0.04078577,0.030932967,-0.08047169,-0.025139747,0.047588088,-0.10090372,0.06739588,-0.1027456,-0.07081833,-0.060281236,0.1455636,0.017150573,-0.08338632,0.0966055,-0.012113345,-0.019331496,-0.049817584,-0.015949339,0.11020296,0.09670202,-0.09539409,0.0686003,0.0031006052,-0.02362981,-0.1807489,0.05068584,0.064378075,-0.30454066,0.084080674,0.118609235,0.0008347845,-0.08556661,-0.26324865,0.018141028,-0.044231128,0.079109475,-0.11943989,0.11839203,0.1356682,0.04238735,0.16796426,0.10034063,0.04554291,-0.037311357,-0.15342039,-0.07182548,-0.030439075,-0.012333376,-0.018993132,0.112584636,-0.051055413,-0.0128993625,0.08578953,0.05458948,0.03914617,-0.12601972,0.043860078,0.013802349,0.076915346,-0.018861044,-0.024341116,0.07281347,-0.016252618,-0.0026138655,-0.049463548,-0.021171281,-0.053403385,0.09724261,-0.064695075,0.21492809,-0.035786007,0.0051633017,0.023468079,-0.067665234,-0.1473331,0.10444498,0.032775342,-0.008898806,0.042506415,-0.033300597,0.086704955,-0.035660658,0.0871753,0.24300446,0.021528777,-0.07363465,0.0009165228,0.11655148,-0.084766194,0.10956914,0.027039437,-0.024684759]
